"State","District","Crop","Season","Area-2024-25","Production-2024-25","Yield-2024-25"
"Odisha","Angul","Rice","Kharif","0.88","2.61","2956.00"
"Odisha","Angul","Rice","Summer","0.03","0.09","3030.00"
"Odisha","Angul","Rice","Total","0.91","2.69","2958.00"
"Odisha","Angul","Maize","Kharif","0.00","0.01","2595.00"
"Odisha","Angul","Maize","Summer","0.00","0.00","2417.00"
"Odisha","Angul","Maize","Total","0.00","0.01","2568.00"
"Odisha","Angul","Nutri/Coarse Cereals","Kharif","0.00","0.01","2595.00"
"Odisha","Angul","Nutri/Coarse Cereals","Summer","0.00","0.00","2417.00"
"Odisha","Angul","Nutri/Coarse Cereals","Total","0.00","0.01","2568.00"
"Odisha","Angul","Cereals","Kharif","0.89","2.62","2954.00"
"Odisha","Angul","Cereals","Summer","0.03","0.09","3020.00"
"Odisha","Angul","Cereals","Total","0.91","2.70","2957.00"
"Odisha","Angul","Moong","Summer","0.01","0.01","401.00"
"Odisha","Angul","Moong","Total","0.01","0.01","401.00"
"Odisha","Angul","Total Pulses","Total","0.01","0.01","401.00"
"Odisha","Angul","Total Food Grains","Kharif","0.89","2.62","2954.00"
"Odisha","Angul","Total Food Grains","Summer","0.04","0.09","2197.00"
"Odisha","Angul","Total Food Grains","Total","0.93","2.71","2920.00"
"Odisha","Balangir","Rice","Kharif","1.54","3.35","2179.00"
"Odisha","Balangir","Rice","Summer","0.09","0.23","2618.00"
"Odisha","Balangir","Rice","Total","1.63","3.58","2203.00"
"Odisha","Balangir","Maize","Kharif","0.01","0.02","3178.00"
"Odisha","Balangir","Maize","Total","0.01","0.02","3178.00"
"Odisha","Balangir","Ragi","Kharif","0.00","0.00","562.00"
"Odisha","Balangir","Ragi","Total","0.00","0.00","562.00"
"Odisha","Balangir","Shree Anna /Nutri Cereals","Kharif","0.00","0.00","562.00"
"Odisha","Balangir","Shree Anna /Nutri Cereals","Total","0.00","0.00","562.00"
"Odisha","Balangir","Nutri/Coarse Cereals","Kharif","0.01","0.02","2677.00"
"Odisha","Balangir","Nutri/Coarse Cereals","Total","0.01","0.02","2677.00"
"Odisha","Balangir","Cereals","Kharif","1.55","3.38","2182.00"
"Odisha","Balangir","Cereals","Summer","0.09","0.23","2618.00"
"Odisha","Balangir","Cereals","Total","1.64","3.61","2206.00"
"Odisha","Balangir","Moong","Summer","0.10","0.04","362.00"
"Odisha","Balangir","Moong","Total","0.10","0.04","362.00"
"Odisha","Balangir","Total Pulses","Total","0.10","0.04","362.00"
"Odisha","Balangir","Total Food Grains","Kharif","1.55","3.38","2182.00"
"Odisha","Balangir","Total Food Grains","Summer","0.19","0.27","1432.00"
"Odisha","Balangir","Total Food Grains","Total","1.74","3.65","2101.00"
