State,District,Year,Area (Ha),Production (Tonnes),Yield (Kg/ha)
ODISHA,ANUGUL,2023,120987,279842,2310
ODISHA,ANUGUL,2022,119000,401600,3380
ODISHA,ANUGUL,2021,68248,154793,2270
ODISHA,ANUGUL,2020,61460,194330,3160
ODISHA,BALANGIR,2023,180653,317182,1760
ODISHA,BALANGIR,2022,183100,393930,2150
ODISHA,BALANGIR,2021,184397,263618,1430
ODISHA,BALANGIR,2020,163130,372940,2290
ODISHA,BALESHWAR,2023,229255,352751,1540
ODISHA,BALESHWAR,2022,220140,686260,3120
ODISHA,BALESHWAR,2021,225543,598808,2660
ODISHA,BALESHWAR,2020,222700,695180,3120
ODISHA,BARGARH,2023,346997,577078,1660
ODISHA,BARGARH,2022,325960,1311280,4020
ODISHA,BARGARH,2021,315696,817696,2590
ODISHA,BARGARH,2020,324690,1047460,3230
ODISHA,BHADRAK,2023,146080,267540,1830
ODISHA,BHADRAK,2022,141060,404430,2870
ODISHA,BHADRAK,2021,159332,396667,2490
ODISHA,BHADRAK,2020,151702,334024,2200
ODISHA,BOUDH,2023,65511,143604,2190
ODISHA,BOUDH,2022,70750,236360,3340
ODISHA,BOUDH,2021,71528,224070,3130
ODISHA,BOUDH,2020,67940,239400,3520
ODISHA,CUTTACK,2023,108481,230767,2130
ODISHA,CUTTACK,2022,113420,328240,2890
ODISHA,CUTTACK,2021,111822,293656,2630
ODISHA,CUTTACK,2020,104500,304120,2910
ODISHA,DEOGARH,2023,38664,80126,2070
ODISHA,DEOGARH,2022,40150,103900,2590
ODISHA,DEOGARH,2021,43439,80598,1860
ODISHA,DEOGARH,2020,47200,111940,2370
ODISHA,DHENKANAL,2023,89792,221275,2460
ODISHA,DHENKANAL,2022,86470,292830,3390
ODISHA,DHENKANAL,2021,71437,210384,2950
ODISHA,DHENKANAL,2020,84250,252630,3000
ODISHA,GAJAPATI,2023,40805,57907,1420
ODISHA,GAJAPATI,2022,32090,82600,2570
ODISHA,GAJAPATI,2021,37907,85600,2260
ODISHA,GAJAPATI,2020,33240,82540,2480
ODISHA,GANJAM,2023,289213,518494,1790
ODISHA,GANJAM,2022,293560,898000,3060
ODISHA,GANJAM,2021,257267,544047,2120
ODISHA,GANJAM,2020,274910,786240,2860
ODISHA,JAGATSINGHAPUR,2023,80213,164706,2050
ODISHA,JAGATSINGHAPUR,2022,76900,219060,2850
ODISHA,JAGATSINGHAPUR,2021,88788,150860,1700
ODISHA,JAGATSINGHAPUR,2020,83490,203970,2440
ODISHA,JAJAPUR,2023,135202,209388,1550
ODISHA,JAJAPUR,2022,113770,270190,2380
ODISHA,JAJAPUR,2021,100346,168701,1680
ODISHA,JAJAPUR,2020,129750,234710,1810
ODISHA,JHARSUGUDA,2023,37194,75123,2020
ODISHA,JHARSUGUDA,2022,47080,74190,1580
ODISHA,JHARSUGUDA,2021,47230,30980,660
ODISHA,JHARSUGUDA,2020,47210,127000,2690
ODISHA,KALAHANDI,2023,253313,409093,1620
ODISHA,KALAHANDI,2022,243450,741540,3050
