District,Year,Season,Area,Production,Yield_MTha,Is_Interpolated,Yield_Q_Acre,Q1_Threshold,Failure_Anomaly
Angul,2006,Kharif,111000.0,148000.0,1.3333333333333333,False,5.395926075812761,5.0392242318587925,0
Angul,2007,Kharif,102000.0,84000.0,0.8235294117647058,False,3.33277787035494,5.0392242318587925,1
Angul,2008,Kharif,98000.0,131000.0,1.336734693877551,False,5.4096911933531,5.0392242318587925,0
Angul,2009,Kharif,104000.0,102000.0,0.9807692307692307,False,3.9691186999968866,5.0392242318587925,1
Angul,2010,Kharif,84000.0,47000.0,0.5595238095238095,False,2.2643618353857122,5.0392242318587925,1
Angul,2011,Kharif,78000.0,76000.0,0.9743589743589743,False,3.943176747709325,5.0392242318587925,1
Angul,2012,Kharif,83000.0,173000.0,2.0843373493975905,False,8.435197690803683,5.0392242318587925,0
Angul,2013,Kharif,78000.0,150000.0,1.9230769230769231,False,7.782585686268405,5.0392242318587925,0
Angul,2014,Kharif,90000.0,224000.0,2.488888888888889,False,10.072395341517154,5.0392242318587925,0
Angul,2015,Kharif,79000.0,63000.0,0.7974683544303798,False,3.2273102162297844,5.0392242318587925,1
Angul,2016,Kharif,78600.0,183870.0,2.3393129770992367,False,9.467069919462714,5.0392242318587925,0
Angul,2017,Kharif,91570.0,124260.0,1.356994648902479,False,5.4916821080634515,5.0392242318587925,0
Angul,2018,Kharif,68180.0,181730.0,2.6654444118509826,False,10.786905754152095,5.0392242318587925,0
Angul,2019,Kharif,62030.0,192810.0,3.108334676769305,False,12.579258101049392,5.0392242318587925,0
Angul,2020,Kharif,67224.0,206448.0,3.071046054980364,True,12.428353116067843,5.0392242318587925,0
Angul,2021,Kharif,72418.0,220086.0,3.0391062995387887,True,12.299094696636134,5.0392242318587925,0
Angul,2022,Kharif,77612.0,233724.0,3.011441529660362,True,12.18713690675986,5.0392242318587925,0
Angul,2023,Kharif,82806.0,247362.0,2.9872473009202234,True,12.089224204452544,5.0392242318587925,0
Angul,2024,Kharif,88000.0,261000.0,2.965909090909091,False,12.002869651594862,5.0392242318587925,0
Angul,2025,Kharif,88000.0,261000.0,2.965909090909091,True,12.002869651594862,5.0392242318587925,0
Angul,2006,Rabi,2000.0,4000.0,2.0,False,8.093889113719142,4.879179122987951,0
Angul,2007,Rabi,3000.0,4000.0,1.3333333333333333,False,5.395926075812761,4.879179122987951,0
Angul,2008,Rabi,1000.0,1000.0,1.0,False,4.046944556859571,4.879179122987951,1
Angul,2009,Rabi,1000.0,1000.0,1.0,False,4.046944556859571,4.879179122987951,1
Angul,2010,Rabi,1000.0,1500.0,1.5,True,6.070416835289357,4.879179122987951,0
Angul,2011,Rabi,1000.0,2000.0,2.0,False,8.093889113719142,4.879179122987951,0
Angul,2012,Rabi,173000.0,2000.0,0.011560693641618497,False,0.046785486206469024,4.879179122987951,1
Angul,2013,Rabi,87000.0,1500.0,0.017241379310344827,True,0.06977490615275123,4.879179122987951,1
Angul,2014,Rabi,1000.0,1000.0,1.0,False,4.046944556859571,4.879179122987951,1
Angul,2015,Rabi,620.0,790.0,1.2741935483870968,True,5.156590645030744,4.879179122987951,0
Angul,2016,Rabi,240.0,580.0,2.4166666666666665,False,9.780116012410629,4.879179122987951,0
Angul,2017,Rabi,100.0,250.0,2.5,False,10.117361392148927,4.879179122987951,0
Angul,2018,Rabi,230.0,700.0,3.0434782608695654,False,12.316787781746521,4.879179122987951,0
Angul,2019,Rabi,30.0,90.0,3.0,False,12.140833670578713,4.879179122987951,0
Angul,2020,Rabi,624.0,1872.0,3.0,True,12.140833670578713,4.879179122987951,0
Angul,2021,Rabi,1218.0,3654.0,3.0,True,12.140833670578713,4.879179122987951,0
Angul,2022,Rabi,1812.0,5436.0,3.0,True,12.140833670578713,4.879179122987951,0
Angul,2023,Rabi,2406.0,7218.0,3.0,True,12.140833670578713,4.879179122987951,0
Angul,2024,Rabi,3000.0,9000.0,3.0,False,12.140833670578713,4.879179122987951,0
Angul,2025,Rabi,3000.0,9000.0,3.0,True,12.140833670578713,4.879179122987951,0
Balangir,2006,Kharif,211000.0,309000.0,1.4644549763033174,False,5.926568095116623,5.878618515059045,0
Balangir,2007,Kharif,213000.0,383000.0,1.7981220657276995,False,7.2769003064658015,5.878618515059045,0
Balangir,2008,Kharif,211000.0,299000.0,1.4170616113744077,False,5.734769774886312,5.878618515059045,1
Balangir,2009,Kharif,215000.0,329000.0,1.5302325581395348,False,6.192766321892087,5.878618515059045,0
Balangir,2010,Kharif,209000.0,390000.0,1.8660287081339713,False,7.551714723326472,5.878618515059045,0
Balangir,2011,Kharif,170000.0,65000.0,0.38235294117647056,False,1.5473611540933652,5.878618515059045,1
Balangir,2012,Kharif,194000.0,623000.0,3.211340206185567,False,12.996115767646973,5.878618515059045,0
Balangir,2013,Kharif,200000.0,639000.0,3.195,False,12.929987859166328,5.878618515059045,0
Balangir,2014,Kharif,203000.0,634000.0,3.123152709359606,False,12.639225857384078,5.878618515059045,0
Balangir,2015,Kharif,191000.0,178000.0,0.9319371727748691,False,3.771498068696354,5.878618515059045,1
Balangir,2016,Kharif,195870.0,431680.0,2.2039107571348344,False,8.919104642391074,5.878618515059045,0
Balangir,2017,Kharif,155240.0,120600.0,0.7768616335995877,False,3.143915959528886,5.878618515059045,1
Balangir,2018,Kharif,152690.0,215520.0,1.411487327264392,False,5.712210956148895,5.878618515059045,1
Balangir,2019,Kharif,172200.0,375880.0,2.18281068524971,False,8.833713821326223,5.878618515059045,0
Balangir,2020,Kharif,168560.0,367704.0,2.181442809682012,True,8.828178104743069,5.878618515059045,0
Balangir,2021,Kharif,164920.0,359528.0,2.180014552510308,True,8.822398027156243,5.878618515059045,0
Balangir,2022,Kharif,161280.0,351352.0,2.1785218253968255,True,8.81635704328946,5.878618515059045,0
Balangir,2023,Kharif,157640.0,343176.0,2.176960162395331,True,8.810037079705914,5.878618515059045,0
Balangir,2024,Kharif,154000.0,335000.0,2.175324675324675,False,8.803418354207507,5.878618515059045,0
Balangir,2025,Kharif,154000.0,335000.0,2.175324675324675,True,8.803418354207507,5.878618515059045,0
Balangir,2006,Rabi,3000.0,6000.0,2.0,False,8.093889113719142,9.358559287737759,1
Balangir,2007,Rabi,3000.0,7000.0,2.3333333333333335,False,9.442870632672333,9.358559287737759,0
Balangir,2008,Rabi,4000.0,8000.0,2.0,False,8.093889113719142,9.358559287737759,1
Balangir,2009,Rabi,6000.0,10000.0,1.6666666666666667,False,6.744907594765952,9.358559287737759,1
Balangir,2010,Rabi,3000.0,8000.0,2.6666666666666665,False,10.791852151625521,9.358559287737759,0
Balangir,2011,Rabi,4000.0,9000.0,2.25,False,9.105625252934034,9.358559287737759,1
Balangir,2012,Rabi,623000.0,10000.0,0.016051364365971106,False,0.06495898165103645,9.358559287737759,1
Balangir,2013,Rabi,4000.0,12000.0,3.0,False,12.140833670578713,9.358559287737759,0
Balangir,2014,Rabi,3000.0,7000.0,2.3333333333333335,False,9.442870632672333,9.358559287737759,0
Balangir,2015,Rabi,1000.0,3000.0,3.0,False,12.140833670578713,9.358559287737759,0
Balangir,2016,Rabi,1770.0,4860.0,2.7457627118644066,False,11.111949461207635,9.358559287737759,0
Balangir,2017,Rabi,1340.0,3330.0,2.485074626865672,False,10.056959234583859,9.358559287737759,0
Balangir,2018,Rabi,390.0,990.0,2.5384615384615383,False,10.273013105874295,9.358559287737759,0
Balangir,2019,Rabi,2240.0,6960.0,3.107142857142857,False,12.574434873099381,9.358559287737759,0
Balangir,2020,Rabi,3592.0,10168.0,2.8307349665924275,True,11.455827464963283,9.358559287737759,0
Balangir,2021,Rabi,4944.0,13376.0,2.705501618122977,True,10.949015047037543,9.358559287737759,0
Balangir,2022,Rabi,6296.0,16584.0,2.634053367217281,True,10.659867936937598,9.358559287737759,0
Balangir,2023,Rabi,7648.0,19792.0,2.587866108786611,True,10.472950662835332,9.358559287737759,0
Balangir,2024,Rabi,9000.0,23000.0,2.5555555555555554,False,10.342191645307791,9.358559287737759,0
Balangir,2025,Rabi,9000.0,23000.0,2.5555555555555554,True,10.342191645307791,9.358559287737759,0
Balasore,2006,Kharif,223000.0,293000.0,1.3139013452914798,False,5.317285897577822,5.924748423172211,1
Balasore,2007,Kharif,205000.0,294000.0,1.4341463414634146,False,5.803910730325433,5.924748423172211,1
Balasore,2008,Kharif,212000.0,274000.0,1.2924528301886793,False,5.230484946129823,5.924748423172211,1
Balasore,2009,Kharif,211000.0,302000.0,1.4312796208530805,False,5.792309270955405,5.924748423172211,1
Balasore,2010,Kharif,206000.0,349000.0,1.6941747572815533,False,6.8562313123494665,5.924748423172211,0
Balasore,2011,Kharif,212000.0,426000.0,2.009433962264151,False,8.132067835953666,5.924748423172211,0
Balasore,2012,Kharif,180000.0,278000.0,1.5444444444444445,False,6.250281037816449,5.924748423172211,0
Balasore,2013,Kharif,195000.0,165000.0,0.8461538461538461,False,3.4243377019580983,5.924748423172211,1
Balasore,2014,Kharif,181000.0,362000.0,2.0,False,8.093889113719142,5.924748423172211,0
Balasore,2015,Kharif,192000.0,283000.0,1.4739583333333333,False,5.965027654121138,5.924748423172211,0
Balasore,2016,Kharif,190930.0,519330.0,2.720002095008642,False,11.007697673041852,5.924748423172211,0
Balasore,2017,Kharif,185400.0,403300.0,2.17529665587918,False,8.803304961065075,5.924748423172211,0
Balasore,2018,Kharif,182830.0,452190.0,2.473281190176667,False,10.009231850168623,5.924748423172211,0
Balasore,2019,Kharif,162390.0,366860.0,2.259129256727631,False,9.142570848756094,5.924748423172211,0
Balasore,2020,Kharif,164112.0,365488.0,2.227064443794482,True,9.012806328589567,5.924748423172211,0
