State,District ,Crop,Crop_Year,Season,Area ,Production,Yield
Odisha,ANUGUL,Arhar/Tur,1997,Autumn     ,3555.0,739.0,0.21
Odisha,ANUGUL,Arhar/Tur,1997,Summer     ,469.0,115.0,0.25
Odisha,ANUGUL,Arhar/Tur,1997,Winter     ,660.0,114.0,0.17
Odisha,ANUGUL,Arhar/Tur,1999,Kharif     ,7960.0,5010.0,0.63
Odisha,ANUGUL,Arhar/Tur,2000,Kharif     ,8930.0,6430.0,0.72
Odisha,ANUGUL,Arhar/Tur,2002,Kharif     ,8730.0,6050.0,0.69
Odisha,ANUGUL,Arhar/Tur,2003,Kharif     ,9500.0,6500.0,0.68
Odisha,ANUGUL,Arhar/Tur,2019,Kharif     ,9250.0,9570.0,1.03
Odisha,BALANGIR,Arhar/Tur,1997,Autumn     ,4768.0,1117.0,0.23
Odisha,BALANGIR,Arhar/Tur,1997,Summer     ,482.0,111.0,0.23
Odisha,BALANGIR,Arhar/Tur,1997,Winter     ,3801.0,487.0,0.13
Odisha,BALANGIR,Arhar/Tur,1999,Kharif     ,12290.0,5710.0,0.46
Odisha,BALANGIR,Arhar/Tur,2000,Kharif     ,12470.0,7320.0,0.59
Odisha,BALANGIR,Arhar/Tur,2001,Kharif     ,10010.0,4750.0,0.47
Odisha,BALANGIR,Arhar/Tur,2002,Kharif     ,7680.0,4850.0,0.63
Odisha,BALANGIR,Arhar/Tur,2003,Kharif     ,9160.0,7140.0,0.78
Odisha,BALANGIR,Arhar/Tur,2019,Kharif     ,8600.0,10310.0,1.2
Odisha,BALESHWAR,Arhar/Tur,1997,Summer     ,3913.0,646.0,0.17
Odisha,BALESHWAR,Arhar/Tur,1997,Winter     ,5.0,1.0,0.2
Odisha,BALESHWAR,Arhar/Tur,1999,Kharif     ,310.0,200.0,0.65
Odisha,BALESHWAR,Arhar/Tur,2000,Kharif     ,290.0,150.0,0.52
Odisha,BALESHWAR,Arhar/Tur,2001,Kharif     ,270.0,170.0,0.63
Odisha,BALESHWAR,Arhar/Tur,2002,Kharif     ,180.0,120.0,0.67
Odisha,BALESHWAR,Arhar/Tur,2003,Kharif     ,150.0,90.0,0.6
Odisha,BARGARH,Arhar/Tur,1997,Autumn     ,14149.0,3933.0,0.28
Odisha,BARGARH,Arhar/Tur,1997,Summer     ,831.0,288.0,0.35
Odisha,BARGARH,Arhar/Tur,1997,Winter     ,50.0,9.0,0.18
Odisha,BARGARH,Arhar/Tur,1999,Kharif     ,2090.0,1410.0,0.67
Odisha,BARGARH,Arhar/Tur,2000,Kharif     ,2310.0,1670.0,0.72
Odisha,BARGARH,Arhar/Tur,2001,Kharif     ,2420.0,2300.0,0.95
Odisha,BARGARH,Arhar/Tur,2002,Kharif     ,2200.0,1610.0,0.73
Odisha,BARGARH,Arhar/Tur,2003,Kharif     ,2260.0,1770.0,0.78
Odisha,BARGARH,Arhar/Tur,2019,Kharif     ,2060.0,1900.0,0.92
Odisha,BHADRAK,Arhar/Tur,1997,Summer     ,2990.0,583.0,0.19
Odisha,BHADRAK,Arhar/Tur,1999,Kharif     ,40.0,30.0,0.75
Odisha,BHADRAK,Arhar/Tur,2000,Kharif     ,30.0,20.0,0.67
Odisha,BHADRAK,Arhar/Tur,2001,Kharif     ,20.0,20.0,1.0
Odisha,BHADRAK,Arhar/Tur,2002,Kharif     ,30.0,30.0,1.0
Odisha,BHADRAK,Arhar/Tur,2003,Kharif     ,20.0,20.0,1.0
Odisha,BOUDH,Arhar/Tur,1997,Autumn     ,289.0,45.0,0.16
Odisha,BOUDH,Arhar/Tur,1997,Summer     ,360.0,62.0,0.17
Odisha,BOUDH,Arhar/Tur,1997,Winter     ,1232.0,149.0,0.12
Odisha,BOUDH,Arhar/Tur,1999,Kharif     ,3190.0,2870.0,0.9
Odisha,BOUDH,Arhar/Tur,2000,Kharif     ,2930.0,2720.0,0.93
Odisha,BOUDH,Arhar/Tur,2001,Kharif     ,2970.0,2670.0,0.9
Odisha,BOUDH,Arhar/Tur,2002,Kharif     ,3020.0,2110.0,0.7
Odisha,BOUDH,Arhar/Tur,2003,Kharif     ,3610.0,1810.0,0.5
Odisha,BOUDH,Arhar/Tur,2019,Kharif     ,4810.0,4500.0,0.94
Odisha,CUTTACK,Arhar/Tur,1997,Summer     ,23111.0,4392.0,0.19
Odisha,CUTTACK,Arhar/Tur,1997,Winter     ,1797.0,516.0,0.29
Odisha,CUTTACK,Arhar/Tur,1999,Kharif     ,1240.0,1000.0,0.81
Odisha,CUTTACK,Arhar/Tur,2000,Kharif     ,1360.0,1070.0,0.79
Odisha,CUTTACK,Arhar/Tur,2000,Rabi       ,30.0,20.0,0.67
Odisha,CUTTACK,Arhar/Tur,2001,Kharif     ,1160.0,950.0,0.82
Odisha,CUTTACK,Arhar/Tur,2001,Rabi       ,40.0,30.0,0.75
Odisha,CUTTACK,Arhar/Tur,2002,Kharif     ,890.0,720.0,0.81
Odisha,CUTTACK,Arhar/Tur,2003,Kharif     ,980.0,860.0,0.88
Odisha,CUTTACK,Arhar/Tur,2019,Kharif     ,310.0,270.0,0.87
Odisha,DEOGARH,Arhar/Tur,1997,Autumn     ,1251.0,405.0,0.32
Odisha,DEOGARH,Arhar/Tur,1997,Summer     ,181.0,58.0,0.32
Odisha,DEOGARH,Arhar/Tur,1997,Winter     ,93.0,18.0,0.19
Odisha,DEOGARH,Arhar/Tur,1999,Kharif     ,550.0,340.0,0.62
Odisha,DEOGARH,Arhar/Tur,2000,Kharif     ,440.0,220.0,0.5
Odisha,DEOGARH,Arhar/Tur,2001,Kharif     ,410.0,240.0,0.59
Odisha,DEOGARH,Arhar/Tur,2002,Kharif     ,530.0,300.0,0.57
Odisha,DEOGARH,Arhar/Tur,2003,Kharif     ,670.0,400.0,0.6
