PRECTOTCORR,T2M,RH2M,GWETROOT,Date,District
0.0,19.19,66.43,0.56,19810101,Balangir
0.0,18.67,60.18,0.56,19810102,Balangir
0.0,18.87,56.6,0.55,19810103,Balangir
0.0,19.28,59.05,0.55,19810104,Balangir
0.0,19.21,63.66,0.55,19810105,Balangir
0.03,19.67,66.36,0.54,19810106,Balangir
0.11,18.39,72.2,0.54,19810107,Balangir
0.19,15.93,71.08,0.54,19810108,Balangir
0.0,15.82,62.55,0.54,19810109,Balangir
0.09,16.31,65.62,0.53,19810110,Balangir
6.33,16.34,70.43,0.53,19810111,Balangir
12.81,15.61,83.02,0.55,19810112,Balangir
3.27,15.56,81.19,0.57,19810113,Balangir
0.01,14.56,72.07,0.56,19810114,Balangir
0.0,15.58,64.0,0.55,19810115,Balangir
0.0,16.83,62.61,0.55,19810116,Balangir
1.29,17.23,60.67,0.55,19810117,Balangir
0.14,17.25,62.13,0.54,19810118,Balangir
0.3,16.53,72.57,0.54,19810119,Balangir
0.0,17.46,60.15,0.54,19810120,Balangir
0.0,17.88,54.06,0.53,19810121,Balangir
0.0,18.62,51.91,0.53,19810122,Balangir
0.0,18.87,61.03,0.53,19810123,Balangir
5.15,20.92,71.39,0.52,19810124,Balangir
0.78,20.86,74.55,0.53,19810125,Balangir
5.58,20.45,78.02,0.53,19810126,Balangir
0.12,20.21,68.42,0.53,19810127,Balangir
0.0,20.07,58.73,0.53,19810128,Balangir
0.0,20.99,53.77,0.52,19810129,Balangir
0.0,21.78,54.36,0.52,19810130,Balangir
5.51,22.46,66.56,0.52,19810131,Balangir
1.83,22.55,68.92,0.52,19810201,Balangir
0.48,20.71,70.85,0.52,19810202,Balangir
0.0,20.14,64.19,0.52,19810203,Balangir
0.0,20.16,56.19,0.51,19810204,Balangir
0.0,21.44,49.79,0.51,19810205,Balangir
0.0,21.64,57.19,0.5,19810206,Balangir
0.01,22.7,51.99,0.5,19810207,Balangir
0.0,23.31,50.66,0.5,19810208,Balangir
2.94,23.55,59.42,0.5,19810209,Balangir
1.06,20.38,61.66,0.5,19810210,Balangir
0.03,18.04,46.25,0.49,19810211,Balangir
0.0,20.63,37.32,0.49,19810212,Balangir
0.0,21.6,41.96,0.49,19810213,Balangir
0.0,22.57,38.21,0.49,19810214,Balangir
0.0,23.06,32.65,0.48,19810215,Balangir
0.03,24.31,31.92,0.48,19810216,Balangir
0.0,24.79,36.64,0.48,19810217,Balangir
0.0,23.46,43.61,0.47,19810218,Balangir
0.0,24.23,35.95,0.47,19810219,Balangir
0.0,24.04,38.54,0.47,19810220,Balangir
0.0,23.89,37.44,0.47,19810221,Balangir
0.0,23.48,34.45,0.47,19810222,Balangir
0.0,23.63,37.94,0.46,19810223,Balangir
0.0,25.1,31.26,0.46,19810224,Balangir
0.0,26.91,32.2,0.46,19810225,Balangir
0.0,26.86,34.77,0.46,19810226,Balangir
0.0,26.28,33.91,0.45,19810227,Balangir
0.0,26.95,31.91,0.45,19810228,Balangir
0.0,26.76,34.67,0.45,19810301,Balangir
0.0,25.34,34.15,0.45,19810302,Balangir
0.0,23.21,33.78,0.45,19810303,Balangir
0.0,23.9,25.14,0.44,19810304,Balangir
0.0,24.68,29.23,0.44,19810305,Balangir
0.05,25.8,37.86,0.44,19810306,Balangir
0.0,26.96,42.09,0.44,19810307,Balangir
0.0,26.79,32.81,0.44,19810308,Balangir
2.86,28.55,35.21,0.44,19810309,Balangir
1.24,28.2,50.06,0.44,19810310,Balangir
4.59,28.01,55.35,0.45,19810311,Balangir
1.88,24.63,62.3,0.45,19810312,Balangir
3.22,24.25,60.48,0.45,19810313,Balangir
0.0,26.25,52.2,0.45,19810314,Balangir
0.38,27.49,51.66,0.45,19810315,Balangir
1.31,23.34,63.36,0.44,19810316,Balangir
0.15,25.69,53.99,0.44,19810317,Balangir
0.11,28.0,45.86,0.44,19810318,Balangir
1.64,29.23,46.37,0.44,19810319,Balangir
6.62,26.88,61.85,0.44,19810320,Balangir
32.25,24.69,77.51,0.48,19810321,Balangir
1.29,25.94,66.06,0.51,19810322,Balangir
0.0,27.61,51.92,0.5,19810323,Balangir
1.55,28.16,49.78,0.49,19810324,Balangir
1.36,26.93,42.46,0.48,19810325,Balangir
0.5,25.87,37.77,0.48,19810326,Balangir
5.74,26.93,41.73,0.48,19810327,Balangir
1.98,27.63,50.28,0.48,19810328,Balangir
5.56,28.29,55.84,0.48,19810329,Balangir
7.11,28.66,59.24,0.49,19810330,Balangir
3.27,29.16,55.84,0.49,19810331,Balangir
0.02,29.7,50.04,0.48,19810401,Balangir
0.14,30.34,51.58,0.48,19810402,Balangir
0.53,31.22,51.59,0.47,19810403,Balangir
0.0,31.46,37.77,0.47,19810404,Balangir
0.0,30.72,26.42,0.46,19810405,Balangir
0.0,29.39,26.52,0.46,19810406,Balangir
0.0,28.8,21.18,0.45,19810407,Balangir
0.0,29.14,27.41,0.45,19810408,Balangir
0.0,29.32,25.36,0.45,19810409,Balangir
0.0,30.46,27.41,0.45,19810410,Balangir
0.0,30.97,25.83,0.44,19810411,Balangir
0.0,32.22,27.68,0.44,19810412,Balangir
0.0,31.46,34.89,0.44,19810413,Balangir
0.02,31.81,47.45,0.44,19810414,Balangir
0.77,32.32,49.68,0.44,19810415,Balangir
5.64,32.19,52.29,0.44,19810416,Balangir
0.01,32.39,32.49,0.44,19810417,Balangir
0.07,32.9,28.66,0.44,19810418,Balangir
0.13,34.27,30.35,0.44,19810419,Balangir
0.02,32.05,36.83,0.43,19810420,Balangir
3.78,32.02,47.05,0.43,19810421,Balangir
5.96,31.54,54.15,0.45,19810422,Balangir
2.48,32.14,42.73,0.45,19810423,Balangir
2.49,31.44,51.19,0.45,19810424,Balangir
16.97,30.73,50.01,0.45,19810425,Balangir
4.03,30.53,54.2,0.47,19810426,Balangir
0.29,31.12,47.42,0.47,19810427,Balangir
0.25,31.94,47.67,0.46,19810428,Balangir
1.18,32.21,43.76,0.45,19810429,Balangir
2.59,29.76,54.44,0.45,19810430,Balangir
0.0,31.48,43.66,0.45,19810501,Balangir
2.7,32.58,40.01,0.45,19810502,Balangir
6.64,31.57,52.14,0.45,19810503,Balangir
21.21,30.36,60.02,0.47,19810504,Balangir
6.31,27.89,68.34,0.5,19810505,Balangir
0.15,28.67,60.66,0.49,19810506,Balangir
4.91,29.07,60.71,0.48,19810507,Balangir
4.64,28.82,64.71,0.49,19810508,Balangir
1.27,29.32,61.0,0.48,19810509,Balangir
0.35,30.85,52.71,0.48,19810510,Balangir
0.95,30.39,52.9,0.47,19810511,Balangir
1.3,31.79,47.16,0.47,19810512,Balangir
0.0,32.78,38.7,0.47,19810513,Balangir
0.0,33.76,34.6,0.46,19810514,Balangir
0.0,34.33,35.97,0.46,19810515,Balangir
0.01,34.06,31.6,0.45,19810516,Balangir
7.28,34.1,40.09,0.45,19810517,Balangir
2.31,32.92,51.59,0.46,19810518,Balangir
0.47,34.29,42.02,0.46,19810519,Balangir
0.75,33.98,39.02,0.45,19810520,Balangir
0.92,34.51,42.26,0.45,19810521,Balangir
1.94,33.46,46.41,0.45,19810522,Balangir
4.84,32.47,51.7,0.45,19810523,Balangir
1.31,34.21,34.86,0.45,19810524,Balangir
6.28,33.02,47.63,0.46,19810525,Balangir
3.75,32.73,55.75,0.46,19810526,Balangir
4.4,33.01,56.21,0.46,19810527,Balangir
0.66,33.74,52.69,0.46,19810528,Balangir
4.09,33.5,53.36,0.45,19810529,Balangir
2.8,33.02,55.21,0.46,19810530,Balangir
14.15,32.1,61.24,0.47,19810531,Balangir
6.19,33.15,56.04,0.47,19810601,Balangir
1.18,32.35,59.19,0.47,19810602,Balangir
10.84,31.96,58.53,0.48,19810603,Balangir
2.15,32.85,47.99,0.48,19810604,Balangir
11.02,31.01,56.33,0.48,19810605,Balangir
0.84,32.29,55.25,0.48,19810606,Balangir
0.83,33.18,51.06,0.48,19810607,Balangir
1.58,33.92,42.04,0.47,19810608,Balangir
1.32,34.85,44.14,0.47,19810609,Balangir
5.2,33.74,48.71,0.47,19810610,Balangir
0.59,34.53,42.98,0.47,19810611,Balangir
0.56,32.87,48.61,0.46,19810612,Balangir
0.06,34.01,41.6,0.46,19810613,Balangir
0.0,32.88,36.74,0.45,19810614,Balangir
3.18,33.33,47.89,0.45,19810615,Balangir
5.04,31.33,59.18,0.46,19810616,Balangir
1.74,30.94,56.37,0.46,19810617,Balangir
5.34,29.0,68.22,0.46,19810618,Balangir
0.59,28.4,68.5,0.46,19810619,Balangir
10.48,28.15,73.5,0.47,19810620,Balangir
10.14,28.03,77.94,0.48,19810621,Balangir
44.6,27.1,81.28,0.52,19810622,Balangir
52.09,26.61,83.74,0.61,19810623,Balangir
9.69,26.13,82.24,0.62,19810624,Balangir
5.82,26.57,79.13,0.61,19810625,Balangir
1.29,27.11,79.56,0.6,19810626,Balangir
0.39,27.95,75.97,0.58,19810627,Balangir
3.87,27.46,77.87,0.57,19810628,Balangir
4.09,26.51,83.35,0.57,19810629,Balangir
6.19,26.19,83.08,0.57,19810630,Balangir
6.5,26.19,82.5,0.58,19810701,Balangir
25.27,26.22,84.18,0.59,19810702,Balangir
6.4,27.28,78.69,0.61,19810703,Balangir
0.58,26.68,81.31,0.6,19810704,Balangir
2.07,26.53,82.11,0.59,19810705,Balangir
18.26,25.69,87.49,0.61,19810706,Balangir
2.56,26.83,78.88,0.61,19810707,Balangir
15.25,25.17,84.55,0.61,19810708,Balangir
23.34,26.23,82.32,0.64,19810709,Balangir
5.73,26.45,80.42,0.65,19810710,Balangir
2.38,26.73,82.53,0.64,19810711,Balangir
28.26,26.21,86.35,0.65,19810712,Balangir
4.08,25.94,84.51,0.67,19810713,Balangir
1.27,26.19,82.77,0.66,19810714,Balangir
4.21,26.77,83.92,0.65,19810715,Balangir
1.92,26.43,87.84,0.65,19810716,Balangir
4.66,25.75,88.76,0.65,19810717,Balangir
2.8,26.09,86.37,0.65,19810718,Balangir
4.97,26.04,85.25,0.65,19810719,Balangir
