PRECTOTCORR,T2M,RH2M,GWETROOT,Date,District
0.0,18.58,64.16,0.53,19810101,Keonjhar
0.0,17.62,60.34,0.53,19810102,Keonjhar
0.0,17.46,61.81,0.53,19810103,Keonjhar
0.0,18.55,60.37,0.52,19810104,Keonjhar
0.0,19.6,60.26,0.52,19810105,Keonjhar
0.66,19.56,63.57,0.52,19810106,Keonjhar
1.52,19.46,65.08,0.52,19810107,Keonjhar
2.43,16.11,63.91,0.52,19810108,Keonjhar
0.0,14.84,57.42,0.52,19810109,Keonjhar
0.0,15.4,54.96,0.51,19810110,Keonjhar
0.06,16.4,56.75,0.51,19810111,Keonjhar
8.14,15.22,72.81,0.52,19810112,Keonjhar
3.85,15.13,81.56,0.53,19810113,Keonjhar
0.38,16.08,68.95,0.53,19810114,Keonjhar
0.0,16.03,63.83,0.52,19810115,Keonjhar
0.0,17.01,56.45,0.52,19810116,Keonjhar
0.01,17.57,50.19,0.52,19810117,Keonjhar
0.0,18.17,51.15,0.51,19810118,Keonjhar
0.06,17.05,60.54,0.51,19810119,Keonjhar
0.0,17.57,58.99,0.51,19810120,Keonjhar
0.0,17.58,60.96,0.51,19810121,Keonjhar
0.0,18.41,60.8,0.5,19810122,Keonjhar
0.0,18.68,55.81,0.5,19810123,Keonjhar
2.23,19.17,73.4,0.5,19810124,Keonjhar
3.32,19.56,77.83,0.5,19810125,Keonjhar
6.43,19.5,77.1,0.51,19810126,Keonjhar
0.02,20.13,64.74,0.51,19810127,Keonjhar
0.0,19.94,61.58,0.51,19810128,Keonjhar
0.0,19.61,57.27,0.51,19810129,Keonjhar
0.03,21.55,53.87,0.5,19810130,Keonjhar
5.74,21.61,75.86,0.5,19810131,Keonjhar
3.88,22.49,75.49,0.51,19810201,Keonjhar
0.49,21.19,73.41,0.51,19810202,Keonjhar
0.0,20.58,68.81,0.51,19810203,Keonjhar
0.0,19.93,63.32,0.5,19810204,Keonjhar
0.0,20.83,58.01,0.5,19810205,Keonjhar
0.0,21.81,58.81,0.5,19810206,Keonjhar
0.0,22.08,61.34,0.49,19810207,Keonjhar
0.28,23.44,52.74,0.49,19810208,Keonjhar
9.2,22.27,73.3,0.49,19810209,Keonjhar
22.3,18.89,75.68,0.53,19810210,Keonjhar
