PRECTOTCORR,T2M,RH2M,GWETROOT,Date,District
0.0,22.3,65.37,0.49,19810101,Puri
0.0,21.27,58.32,0.49,19810102,Puri
0.0,21.53,55.45,0.49,19810103,Puri
0.0,22.13,67.02,0.48,19810104,Puri
0.01,23.04,75.82,0.48,19810105,Puri
0.03,23.22,71.63,0.48,19810106,Puri
0.22,23.08,74.11,0.47,19810107,Puri
0.36,20.1,67.77,0.47,19810108,Puri
0.0,19.55,62.7,0.47,19810109,Puri
0.01,19.3,59.98,0.47,19810110,Puri
0.07,19.55,62.84,0.46,19810111,Puri
2.26,18.9,69.04,0.46,19810112,Puri
6.58,19.34,73.43,0.47,19810113,Puri
2.28,19.7,71.64,0.47,19810114,Puri
0.0,19.37,64.12,0.47,19810115,Puri
0.0,19.74,61.07,0.47,19810116,Puri
0.02,20.22,56.13,0.46,19810117,Puri
0.0,20.81,55.16,0.46,19810118,Puri
0.01,20.63,59.29,0.46,19810119,Puri
0.0,20.78,57.76,0.45,19810120,Puri
0.0,20.96,52.23,0.45,19810121,Puri
0.0,21.19,57.28,0.45,19810122,Puri
0.0,21.63,68.71,0.44,19810123,Puri
0.47,22.64,68.14,0.44,19810124,Puri
0.6,23.17,70.48,0.44,19810125,Puri
16.41,23.02,71.68,0.45,19810126,Puri
0.16,23.17,66.24,0.46,19810127,Puri
0.0,22.98,65.09,0.46,19810128,Puri
0.0,22.94,63.2,0.45,19810129,Puri
0.06,23.51,72.07,0.45,19810130,Puri
1.43,24.49,75.91,0.45,19810131,Puri
5.48,25.02,77.17,0.45,19810201,Puri
1.93,23.93,77.24,0.45,19810202,Puri
0.0,23.34,73.59,0.45,19810203,Puri
0.0,23.01,69.74,0.44,19810204,Puri
0.0,23.55,67.39,0.44,19810205,Puri
0.0,24.45,64.02,0.44,19810206,Puri
0.0,24.84,63.61,0.43,19810207,Puri
0.0,25.32,65.93,0.43,19810208,Puri
3.4,24.75,72.58,0.43,19810209,Puri
9.2,23.5,69.07,0.44,19810210,Puri
0.0,20.46,53.8,0.44,19810211,Puri
0.0,22.43,47.62,0.44,19810212,Puri
0.0,23.47,64.39,0.43,19810213,Puri
