PRECTOTCORR,T2M,RH2M,GWETROOT,Date,District
0.0,17.72,65.14,0.55,19810101,Sundargarh
0.0,17.26,63.24,0.55,19810102,Sundargarh
0.0,17.19,64.04,0.54,19810103,Sundargarh
0.0,18.02,66.51,0.54,19810104,Sundargarh
0.0,18.55,68.18,0.54,19810105,Sundargarh
0.24,18.98,69.04,0.54,19810106,Sundargarh
1.31,18.13,73.45,0.53,19810107,Sundargarh
1.01,14.85,65.36,0.53,19810108,Sundargarh
0.0,13.82,61.23,0.53,19810109,Sundargarh
0.0,14.22,61.14,0.53,19810110,Sundargarh
3.86,14.13,73.48,0.52,19810111,Sundargarh
17.18,15.27,81.8,0.54,19810112,Sundargarh
1.19,15.19,76.84,0.56,19810113,Sundargarh
0.0,14.42,64.35,0.55,19810114,Sundargarh
0.0,15.29,69.71,0.54,19810115,Sundargarh
0.0,16.02,66.52,0.54,19810116,Sundargarh
0.75,15.42,65.98,0.53,19810117,Sundargarh
0.84,16.42,67.05,0.53,19810118,Sundargarh
0.44,16.57,67.79,0.53,19810119,Sundargarh
0.04,16.47,63.0,0.53,19810120,Sundargarh
0.0,16.56,61.76,0.52,19810121,Sundargarh
0.0,17.72,59.37,0.52,19810122,Sundargarh
0.0,18.26,59.64,0.51,19810123,Sundargarh
9.01,19.01,76.47,0.51,19810124,Sundargarh
3.16,19.75,79.79,0.53,19810125,Sundargarh
1.26,19.56,76.07,0.53,19810126,Sundargarh
0.0,19.31,68.69,0.52,19810127,Sundargarh
0.0,18.4,64.19,0.52,19810128,Sundargarh
0.0,19.07,62.27,0.51,19810129,Sundargarh
0.08,20.92,59.41,0.51,19810130,Sundargarh
6.37,20.75,67.08,0.51,19810131,Sundargarh
3.58,20.68,71.12,0.51,19810201,Sundargarh
0.25,19.19,71.64,0.51,19810202,Sundargarh
0.0,18.71,66.9,0.51,19810203,Sundargarh
0.0,19.08,55.71,0.5,19810204,Sundargarh
0.0,20.38,52.43,0.5,19810205,Sundargarh
0.0,22.32,48.11,0.49,19810206,Sundargarh
0.08,21.86,54.38,0.49,19810207,Sundargarh
0.31,21.94,56.83,0.48,19810208,Sundargarh
4.52,21.67,66.59,0.48,19810209,Sundargarh
3.95,18.01,60.94,0.49,19810210,Sundargarh
0.52,16.36,53.18,0.49,19810211,Sundargarh
0.01,19.03,48.27,0.48,19810212,Sundargarh
0.0,20.13,48.56,0.48,19810213,Sundargarh
0.0,20.6,50.19,0.47,19810214,Sundargarh
0.0,22.82,38.86,0.47,19810215,Sundargarh
0.25,23.33,43.92,0.47,19810216,Sundargarh
0.0,22.73,50.76,0.46,19810217,Sundargarh
